"subbasin","opcat_id","opcat_name"
5965,3283,"Lower Swale"
5966,3387,"Rye"
5967,3497,"Upper Nidd"
5968,3507,"Upper Wharfe"
5969,3283,"Lower Swale"
5970,3283,"Lower Swale"
5971,3507,"Upper Wharfe"
5972,3387,"Rye"
5973,3507,"Upper Wharfe"
5974,3283,"Lower Swale"
5975,3387,"Rye"
5976,3387,"Rye"
5977,3505,"Upper Ure"
5978,3387,"Rye"
5979,3507,"Upper Wharfe"
5980,3283,"Lower Swale"
5981,3283,"Lower Swale"
5982,3387,"Rye"
5983,3309,"Middle and Lower Ure"
5984,3497,"Upper Nidd"
5985,3489,"Upper Derwent Yorkshire"
5986,3507,"Upper Wharfe"
5987,3283,"Lower Swale"
5988,3507,"Upper Wharfe"
5989,3283,"Lower Swale"
5990,3387,"Rye"
5991,3387,"Rye"
5992,3283,"Lower Swale"
5993,3283,"Lower Swale"
5994,3387,"Rye"
5995,3309,"Middle and Lower Ure"
5996,3309,"Middle and Lower Ure"
5997,3387,"Rye"
5998,3507,"Upper Wharfe"
5999,3387,"Rye"
6000,3387,"Rye"
6001,3387,"Rye"
6002,3309,"Middle and Lower Ure"
6003,3489,"Upper Derwent Yorkshire"
6004,3507,"Upper Wharfe"
6005,3283,"Lower Swale"
6006,3387,"Rye"
6007,3507,"Upper Wharfe"
6008,3309,"Middle and Lower Ure"
6009,3507,"Upper Wharfe"
6010,3283,"Lower Swale"
6011,3507,"Upper Wharfe"
6012,3387,"Rye"
6013,3387,"Rye"
6014,3309,"Middle and Lower Ure"
6015,3507,"Upper Wharfe"
6016,3309,"Middle and Lower Ure"
6017,3497,"Upper Nidd"
6018,3489,"Upper Derwent Yorkshire"
6019,3309,"Middle and Lower Ure"
6020,3283,"Lower Swale"
6021,3387,"Rye"
6022,3309,"Middle and Lower Ure"
6023,3387,"Rye"
6024,3309,"Middle and Lower Ure"
6025,3309,"Middle and Lower Ure"
6026,3507,"Upper Wharfe"
6027,3387,"Rye"
6028,3387,"Rye"
6029,3309,"Middle and Lower Ure"
6030,3309,"Middle and Lower Ure"
6031,3387,"Rye"
6032,3387,"Rye"
6033,3283,"Lower Swale"
6034,3387,"Rye"
6035,3387,"Rye"
6036,3387,"Rye"
6037,3489,"Upper Derwent Yorkshire"
6038,3489,"Upper Derwent Yorkshire"
6039,3283,"Lower Swale"
6040,3489,"Upper Derwent Yorkshire"
6041,3387,"Rye"
6042,3309,"Middle and Lower Ure"
6043,3489,"Upper Derwent Yorkshire"
6044,3309,"Middle and Lower Ure"
6045,3387,"Rye"
6046,3507,"Upper Wharfe"
6047,3309,"Middle and Lower Ure"
6048,3283,"Lower Swale"
6049,3309,"Middle and Lower Ure"
6050,3507,"Upper Wharfe"
6051,3309,"Middle and Lower Ure"
6052,3283,"Lower Swale"
6053,3309,"Middle and Lower Ure"
6054,3283,"Lower Swale"
6055,3309,"Middle and Lower Ure"
6056,3507,"Upper Wharfe"
6057,3283,"Lower Swale"
6058,3387,"Rye"
6059,3489,"Upper Derwent Yorkshire"
6060,3489,"Upper Derwent Yorkshire"
6061,3489,"Upper Derwent Yorkshire"
6062,3387,"Rye"
6063,3309,"Middle and Lower Ure"
6064,3309,"Middle and Lower Ure"
6065,3309,"Middle and Lower Ure"
6066,3283,"Lower Swale"
6067,3283,"Lower Swale"
6068,3507,"Upper Wharfe"
6069,3505,"Upper Ure"
6070,3283,"Lower Swale"
6071,3309,"Middle and Lower Ure"
6072,3283,"Lower Swale"
6073,3283,"Lower Swale"
6074,3387,"Rye"
6075,3387,"Rye"
6076,3387,"Rye"
6077,3489,"Upper Derwent Yorkshire"
6078,3283,"Lower Swale"
6079,3489,"Upper Derwent Yorkshire"
6080,3489,"Upper Derwent Yorkshire"
6081,3387,"Rye"
6082,3507,"Upper Wharfe"
6083,3309,"Middle and Lower Ure"
6084,3497,"Upper Nidd"
6085,3497,"Upper Nidd"
6086,3309,"Middle and Lower Ure"
6087,3387,"Rye"
6088,3387,"Rye"
6089,3489,"Upper Derwent Yorkshire"
6090,3283,"Lower Swale"
6091,3309,"Middle and Lower Ure"
6092,3283,"Lower Swale"
6093,3387,"Rye"
6094,3387,"Rye"
6095,3387,"Rye"
6096,3387,"Rye"
6097,3489,"Upper Derwent Yorkshire"
6098,3311,"Middle Derwent Yorkshire"
6099,3283,"Lower Swale"
6100,3497,"Upper Nidd"
6101,3283,"Lower Swale"
6102,3283,"Lower Swale"
6103,3387,"Rye"
6104,3497,"Upper Nidd"
6105,3497,"Upper Nidd"
6106,3497,"Upper Nidd"
6107,3387,"Rye"
6108,3489,"Upper Derwent Yorkshire"
6109,3387,"Rye"
6110,3387,"Rye"
6111,3507,"Upper Wharfe"
6112,3507,"Upper Wharfe"
6113,3387,"Rye"
6114,3387,"Rye"
6115,3283,"Lower Swale"
6116,3309,"Middle and Lower Ure"
6117,3497,"Upper Nidd"
6118,3387,"Rye"
6119,3309,"Middle and Lower Ure"
6120,3309,"Middle and Lower Ure"
6121,3489,"Upper Derwent Yorkshire"
6122,3387,"Rye"
6123,3387,"Rye"
6124,3497,"Upper Nidd"
6125,3283,"Lower Swale"
6126,3283,"Lower Swale"
6127,3311,"Middle Derwent Yorkshire"
6128,3283,"Lower Swale"
6129,3507,"Upper Wharfe"
6130,3309,"Middle and Lower Ure"
6131,3309,"Middle and Lower Ure"
6132,3309,"Middle and Lower Ure"
6133,3489,"Upper Derwent Yorkshire"
6134,3507,"Upper Wharfe"
6135,3283,"Lower Swale"
6136,3387,"Rye"
6137,3387,"Rye"
6138,3489,"Upper Derwent Yorkshire"
6139,3489,"Upper Derwent Yorkshire"
6140,3309,"Middle and Lower Ure"
6141,3507,"Upper Wharfe"
6142,3387,"Rye"
6143,3309,"Middle and Lower Ure"
6144,3309,"Middle and Lower Ure"
6145,3309,"Middle and Lower Ure"
6146,3507,"Upper Wharfe"
6147,3309,"Middle and Lower Ure"
6148,3387,"Rye"
6149,3387,"Rye"
6150,3489,"Upper Derwent Yorkshire"
